page_nos,article_title,article_link,article_hint,article_tags 
30,Gasmask – Information Gathering Tool in Kali Linux,https://www.geeksforgeeks.org/gasmask-information-gathering-tool-in-kali-linux/,Gasmask is a free and open-source tool available on Github. Gasmask is an Open Source Intelligence and Information Gathering Tool based on (OSINT). Gasmask is… ,"Cyber-security, Kali-Linux, Linux-Tools, Linux-Unix"
30,Merge two DataFrames in PySpark,https://www.geeksforgeeks.org/merge-two-dataframes-in-pyspark/,"In this article, we will learn how to merge multiple data frames row-wise in PySpark. Outside chaining unions this is the only way to do… ","Picked, Python"
30,How to delete last N rows from Numpy array?,https://www.geeksforgeeks.org/how-to-delete-last-n-rows-from-numpy-array/,"In this article, we will discuss how to delete the last N rows from the NumPy array. Method 1: Using Slice Operator Slicing is an… ","Picked, Python numpy-Indexing, Python-numpy, Python"
30,How to move an image with the mouse in PyGame?,https://www.geeksforgeeks.org/how-to-move-an-image-with-the-mouse-in-pygame/,Pygame is a Python library that is used to create cross-platform video games. The games created by Pygame can be easily run through any of… ,"Picked, Python-PyGame, Python"
30,Integration in MATLAB,https://www.geeksforgeeks.org/integration-in-matlab/,"Integration is defined as the process of finding the anti derivative of a function. It is used to calculate area, volume, displacement, and many more.… ","MATLAB-Maths, Picked, MATLAB"
30,Find inverse of matrix in MATLAB,https://www.geeksforgeeks.org/find-inverse-of-matrix-in-matlab/,Inverse function in MATLAB is used to find the inverse of a matrix. Suppose A is a matrix and B is the inverse of a… ,"Picked, MATLAB"
30,How to subtract time in R ?,https://www.geeksforgeeks.org/how-to-subtract-time-in-r/,"In this article, we will discuss how to subtract time in R Programming Language. Method 1: Using difftime() method in R The difftime() method in… ","Picked, R-DateTime, R Language"
31,Change Spacing of Axis Tick Marks in Base R Plot,https://www.geeksforgeeks.org/change-spacing-of-axis-tick-marks-in-base-r-plot/,"In this article, we are going to see how to modify the space between axis tick marks of a Base R plot in R programming.… ","Picked, R-Charts, R-Graphs, R-plots, R Language"
31,How to Update all the Values of a Specific Column of SQLite Table using Python ?,https://www.geeksforgeeks.org/how-to-update-all-the-values-of-a-specific-column-of-sqlite-table-using-python/,"In this article, we are going to update all the values of a specific column of a given SQLite table using Python. In order to… ","Picked, Python-SQLite, Python"
31,How to select multiple DataFrame columns by name in R ?,https://www.geeksforgeeks.org/how-to-select-multiple-dataframe-columns-by-name-in-r/,"In this article, we will discuss how to select multiple columns from a DataFrame by name in R Programming Language. To get multiple columns we… ","Picked, R DataFrame-Programs, R-DataFrame, R Language, R Programs"
31,How to connect to SQLite database that resides in the memory using Python ?,https://www.geeksforgeeks.org/how-to-connect-to-sqlite-database-that-resides-in-the-memory-using-python/,"In this article, we will learn how to Connect an SQLite database connection to a database that resides in the memory using Python. But first… ","Picked, Python-SQLite, Python"
31,Append row to CSV using R,https://www.geeksforgeeks.org/append-row-to-csv-using-r/,"In this article, we will see how to append rows to a CSV file using R Programming Language.  By default, the write.csv() function overwrites entire… ","Picked, R-CSV, R Language"
31,Add Panel Border to ggplot2 Plot in R,https://www.geeksforgeeks.org/add-panel-border-to-ggplot2-plot-in-r/,"In this article, we will use theme() function to add panel border to the plot in R Programming Language. Here we will create a scatter… ","Picked, R-ggplot, R Language"
31,How to scale Pandas DataFrame columns ?,https://www.geeksforgeeks.org/how-to-scale-pandas-dataframe-columns/,"When a dataset has values of different columns at drastically different scales, it gets tough to analyze the trends and patterns and comparison of the… ","Picked, Python pandas-dataFrame, Python-pandas, Python"
31,How to use the mouse to scale and rotate an image in PyGame ?,https://www.geeksforgeeks.org/how-to-use-the-mouse-to-scale-and-rotate-an-image-in-pygame/,"In this article, we will discuss how to transform the image i.e (scaling and rotating images) using the mouse in Pygame. Approach Step 1: First,… ","Picked, Python-PyGame, Python"
31,Python MySQL – LIKE() operator,https://www.geeksforgeeks.org/python-mysql-like-operator/,"In this article, we will discuss the use of LIKE operator in MySQL using Python language. Sometimes we may require tuples from the database which… ","Python-mySQL, Python"
31,Python SQLite – Update Specific Column,https://www.geeksforgeeks.org/python-sqlite-update-specific-column/,"In this article, we will discuss how to update a specific column of a table in SQLite using Python. In order to update a particular… ","Picked, Python-SQLite, Python"
31,Python SQLite – Insert Data,https://www.geeksforgeeks.org/python-sqlite-insert-data/,"In this article, we will discuss how can we insert data in a table in the SQLite database from Python using the sqlite3 module. The SQL… ","Picked, Python-SQLite, Python"
31,SciPy Linear Algebra – SciPy Linalg,https://www.geeksforgeeks.org/scipy-linear-algebra-scipy-linalg/,The SciPy package includes the features of the NumPy package in Python. It uses NumPy arrays as the fundamental data structure. It has all the… ,"Picked, Python-scipy, Python"
31,Java Program to Check Whether the String Consists of Special Characters,https://www.geeksforgeeks.org/java-program-to-check-whether-the-string-consists-of-special-characters/,Special characters are those characters that are neither a letter nor a number. Whitespace is also not considered a special character. Examples of special characters… ,"Java-String-Programs, Picked, Java, Java Programs"
31,Java Program to Find Factorial of a Number Recursively,https://www.geeksforgeeks.org/java-program-to-find-factorial-of-a-number-recursively/,"Factorial of a number n is defined as a product of all positive descending integers, Factorial of n is denoted by n!. Factorial can be… ","Picked, Java, Java Programs"
31,Performing Baillie-PSW Primality Test in Java,https://www.geeksforgeeks.org/performing-baillie-psw-primality-test-in-java/,The Baillie PSW Primality testing is generally a probabilistic primality testing Algorithm that tries to define whether a given number is composite or a probable… ,"Picked, Java"
32,Java Program to Print all Unique Words of a String,https://www.geeksforgeeks.org/java-program-to-print-all-unique-words-of-a-string/,Java program to print all unique words present in the string. The task is to print all words occurring only once in the string. Illustration:… ,"Java-String-Programs, Picked, Java, Java Programs"
32,Figures on the Same Base and between the Same Parallels,https://www.geeksforgeeks.org/figures-on-the-same-base-and-between-the-same-parallels/,A triangle is a three-sided polygon and a parallelogram is a four-sided polygon or simply a quadrilateral that has parallel opposite sides. We encounter these… ,"Class 9, School Learning, School Mathematics"
32,Division Algorithm Problems and Solutions,https://www.geeksforgeeks.org/division-algorithm-problems-and-solutions/,"Polynomials are made up of algebraic expressions with different degrees. Degree-one polynomials are called linear polynomials, degree-two are called quadratic and degree-three are called cubic… ","Picked, Class 10, School Learning, School Mathematics"
32,Electric Potential and Potential Difference,https://www.geeksforgeeks.org/electric-potential-and-potential-difference/,"The flow of Electric Charges is known as Electricity, and it is responsible for producing electric current. In this Fast Growing Era, Electricity has become… ","Picked, Class 10, School Learning, School Physics"
32,Change in State of Motion,https://www.geeksforgeeks.org/change-in-state-of-motion/,"In science, a push or pull of an entity is identified as a Force. The interaction between two objects arises from the force. Force has… ","Class 8, School Learning, School Physics"
32,Why Do Companies Ask For Years of Experience (YoE)?,https://www.geeksforgeeks.org/why-do-companies-ask-for-years-of-experience-yoe/,Many of you reading this article must be freshers looking for entry-level jobs in the company that pleases you. Then why are you reading this… ,GBlog
32,Class 11 RD Sharma Solutions – Chapter 7 Trigonometric Ratios of Compound Angles – Exercise 7.1 | Set 2,https://www.geeksforgeeks.org/class-11-rd-sharma-solutions-chapter-7-trigonometric-ratios-of-compound-angles-exercise-7-1-set-2/,Question 17. Prove that: (i) tan 8x – tan 6x – tan 2x = tan 8x tan 6x tan 2x  (ii) tan π/12 + tan… ,"Class 11, RD Sharma Solutions, School Learning, School Mathematics"
32,Class 11 RD Sharma Solutions – Chapter 7 Trigonometric Ratios of Compound Angles – Exercise 7.1 | Set 1,https://www.geeksforgeeks.org/class-11-rd-sharma-solutions-chapter-7-trigonometric-ratios-of-compound-angles-exercise-7-1-set-1/,"Question 1. If sin A = 4/5 and cos B = 5/13, where 0 < A, B < π/2, find the values of the following:… ","Picked, RD Sharma Class-11, Class 11, RD Sharma Solutions, School Learning, School Mathematics"
32,Class 11 RD Sharma – Chapter 20 Geometric Progressions- Exercise 20.4,https://www.geeksforgeeks.org/class-11-rd-sharma-chapter-20-geometric-progressions-exercise-20-4/,Question 1.1 Find the sum of the following series to infinity :  Solution: Given series:  It is in the form of Geometric progression where first… ,"Picked, RD Sharma Class-11, Class 11, RD Sharma Solutions, School Learning, School Mathematics"
32,Class 9 RD Sharma Solutions – Chapter 16 Circles- Exercise 16.4,https://www.geeksforgeeks.org/class-9-rd-sharma-solutions-chapter-16-circles-exercise-16-4/,"Question 1. In Fig., O is the centre of the circle. If ∠APB∠APB= 50°, find ∠AOB and ∠OAB. Solution: ∠APB=50° By degree measure theorem ∠AOB=2APB… ","Picked, RD Sharma Class-9, Class 9, RD Sharma Solutions, School Learning, School Mathematics"
32,"Understanding Density Independence Pixel: sp, dp, dip in Android",https://www.geeksforgeeks.org/understanding-density-independence-pixel-sp-dp-dip-in-android/,One of the most crucial factors to consider while developing an Android Application is the Responsiveness of the UI. It’s very important that your app… ,"Picked, Android"
32,Explain the Working and Application of SONAR,https://www.geeksforgeeks.org/explain-the-working-and-application-of-sonar/,"Sound energy is the type of energy that allows our ears to sense something. When a body vibrates or moves in a ‘to-and-fro’ motion, a… ","Picked, Class 9, School Learning, School Physics"
32,Python SQLite – DROP Table,https://www.geeksforgeeks.org/python-sqlite-drop-table/,"In this article, we will discuss the DROP command in SQLite using Python. But first, let’s get a brief about the drop command. DROP is… ","Picked, Python-SQLite, Python"
32,Python SQLite – ORDER BY Clause,https://www.geeksforgeeks.org/python-sqlite-order-by-clause/,"In this article, we will discuss ORDER BY clause in SQLite using Python. The ORDER BY statement is a SQL statement that is used to… ","Picked, Python-SQLite, Python"
32,Python SQLite – LIMIT Clause,https://www.geeksforgeeks.org/python-sqlite-limit-clause/,"In this article, we are going to discuss the LIMIT clause in SQLite using Python. But first, let’s get a brief about the LIMIT clause.… ","Picked, Python-SQLite, Python"
33,R3con1z3r – Lightweight Information Gathering Tool in Kali Linux,https://www.geeksforgeeks.org/r3con1z3r-lightweight-information-gathering-tool-in-kali-linux/,R3con1z3 is a free and open-source tool available on Github. R3con1z3 is one of the easiest and useful tools for performing reconnaissance on websites and… ,"Cyber-security, Kali-Linux, Linux-Tools, Linux-Unix"
33,Human Eye,https://www.geeksforgeeks.org/human-eye/,"Light may be a reasonable energy referred to as a nonparticulate radiation. This way of energy is additionally employed in x-ray machines, microwave ovens, and… ","Picked, Class 8, School Learning, School Physics"
33,How to store single cache data in ReactJS ?,https://www.geeksforgeeks.org/how-to-store-single-cache-data-in-reactjs/,We can use the following approach in ReactJS to store single data into cache in ReactJS. We can cache some data into the browser and… ,"React-Questions, ReactJS, Web Technologies"
33,How to delete specific cache data in ReactJS ?,https://www.geeksforgeeks.org/how-to-delete-specific-cache-data-in-reactjs/,We can use the following approach in ReactJS to delete specific cache data in ReactJS. We can delete specific cache data from the browser as… ,"React-Questions, ReactJS, Web Technologies"
33,How to use XGrid Component in ReactJS ?,https://www.geeksforgeeks.org/how-to-use-xgrid-component-in-reactjs/,"An XGrid Component is a Commercial version of the MaterialUI Component. It provided more enhanced features over the community DataGrid Component like column resizing, column… ","Material-UI, React-Questions, ReactJS, Web Technologies"
33,How to get multiple cache data in ReactJS ?,https://www.geeksforgeeks.org/how-to-get-multiple-cache-data-in-reactjs/,We can use the following approach in ReactJS to get multiple cache data. We can get multiple cache data from the browser and use them… ,"React-Questions, ReactJS, Web Technologies"
33,How to get single cache data in ReactJS ?,https://www.geeksforgeeks.org/how-to-get-single-cache-data-in-reactjs/,We can use the following approach in ReactJS to get single cache data. We can get single cache data from the browser and use it… ,"React-Questions, ReactJS, Web Technologies"
33,How to get complete cache data in ReactJS ?,https://www.geeksforgeeks.org/how-to-get-complete-cache-data-in-reactjs/,We can use the following approach in ReactJS to get all cache data. We can get all cache data from the browser and use it… ,"React-Questions, ReactJS, Web Technologies"
33,How to export our DataGrid as CSV in ReactJS ?,https://www.geeksforgeeks.org/how-to-export-our-datagrid-as-csv-in-reactjs/,GridToolbarExport Component allows the user to export the displayed data to CSV with an extra API call. Material UI for React has this component available… ,"Material-UI, React-Questions, ReactJS, Web Technologies"
33,How to store multiple cache data in ReactJS ?,https://www.geeksforgeeks.org/how-to-store-multiple-cache-data-in-reactjs/,We can use the following approach in ReactJS to store multiple cache data in ReactJS. We can store multiple cache data into the browser and… ,"React-Questions, ReactJS, Web Technologies"
33,How to use x-grid-data-generator Module in ReactJS ?,https://www.geeksforgeeks.org/how-to-use-x-grid-data-generator-module-in-reactjs/,"Whenever we want to generate some data and build demos for the grid Component, we can use the x-grid-data-generator module. It has a large variety… ","React-Questions, ReactJS, Web Technologies"
33,What is a mashup in web technology ?,https://www.geeksforgeeks.org/what-is-a-mashup-in-web-technology/,"A Mashup (also known as web application hybrid), is a technique that websites use to provide resources, functionalities, and services from multiple sources. To put… ","Picked, Web technologies-HTML and XML, Web-API, Web Technologies"
33,Magnetic Field,https://www.geeksforgeeks.org/magnetic-field/,"Static Electric charges create Electric Field and if the Charges start to move, they create a Magnetic field. The force field is also developed by… ","Class 10, School Learning, School Mathematics"
33,How to use Pagination in DataGrid Component in ReactJS ?,https://www.geeksforgeeks.org/how-to-use-pagination-in-datagrid-component-in-reactjs/,Pagination helps in viewing a segment of data from the assigned data source. Pagination improves the user experience as users can switch between pages to… ,"Material-UI, React-Questions, ReactJS, Web Technologies"
33,5 Well-Paying Tech Jobs That Don’t Require Coding,https://www.geeksforgeeks.org/5-well-paying-tech-jobs-that-dont-require-coding/,If you’re one of these individuals who want to build a career in the tech world despite not being a Coding Fanatic or not knowing… ,GBlog
34,Class 11 RD Sharma solutions – Chapter 29 Limits – Exercise 29.7 | Set 1,https://www.geeksforgeeks.org/class-11-rd-sharma-solutions-chapter-29-limits-exercise-29-7-set-1/,"Question 1. Limx→0[sin3x/5x] Solution: We have, Limx→0[sin3x/5x] = (1/5)Limx→0[sin3x/3x] × 3 = (3/5)Limx→0[sin3x/3x] As we know that, Limx→0[sinx/x] = 1 = (3/5)      … ","Picked, RD Sharma Class-11, Class 11, RD Sharma Solutions, School Learning, School Mathematics"
34,Class 12 RD Sharma Solutions – Chapter 19 Indefinite Integrals – Exercise 19.19,https://www.geeksforgeeks.org/class-12-rd-sharma-solutions-chapter-19-indefinite-integrals-exercise-19-19/,Question 1. ∫ x/(x2 + 3x + 2) dx Solution: Given that I = ∫ x/(x2 + 3x + 2) dx Let x = m… ,"Picked, RD Sharma Class-12, Class 12, RD Sharma Solutions, School Learning, School Mathematics"
34,Class 9 RD Sharma Solutions – Chapter 2 Exponents of Real Numbers- Exercise 2.1,https://www.geeksforgeeks.org/class-9-rd-sharma-solutions-chapter-2-exponents-of-real-numbers-exercise-2-1/,Question 1 (i). Simplify 3(a4b3)10 × 5(a2b2)3 Solution: Given 3(a4b3)10 × 5(a2b2)3 = 3 × a40 × b30 × 5 × a6 × b6 = 3… ,"Picked, RD Sharma Class-9, Class 9, RD Sharma Solutions, School Learning, School Mathematics"
34,Class 12 RD Sharma Solutions – Chapter 28 The Straight Line in Space – Exercise 28.1 | Set 2,https://www.geeksforgeeks.org/class-12-rd-sharma-solutions-chapter-28-the-straight-line-in-space-exercise-28-1-set-2/,"Question 11. Find the direction cosines of the line. Also, reduce it to vector form Solution: Given: x = -2λ + 4, y = 6λ,… ","RD Sharma Class-12, Class 12, RD Sharma Solutions, School Learning, School Mathematics"
34,Class 12 RD Sharma Solutions – Chapter 28 The Straight Line in Space – Exercise 28.1 | Set 1,https://www.geeksforgeeks.org/class-12-rd-sharma-solutions-chapter-28-the-straight-line-in-space-exercise-28-1-set-1/,"Question 1. Find the vector and Cartesian equation of the line through the points (5, 2, -4) and which is parallel to the vector Solution:… ","Picked, RD Sharma Class-12, Class 12, RD Sharma Solutions, School Learning, School Mathematics"
34,Class 11 RD Sharma Solutions – Chapter 29 Limits – Exercise 29.10 | Set 3,https://www.geeksforgeeks.org/class-11-rd-sharma-solutions-chapter-29-limits-exercise-29-10-set-3/,"Evaluate the following limits: Question 31. Solution: We have, = = We know,. So, we have, = e2 × log e = e2 Question 32.… ","RD Sharma Class-11, Class 11, RD Sharma Solutions, School Learning, School Mathematics"
34,Class 11 RD Sharma Solutions – Chapter 29 Limits – Exercise 29.10 | Set 2,https://www.geeksforgeeks.org/class-11-rd-sharma-solutions-chapter-29-limits-exercise-29-10-set-2/,"Evaluate the following limits: Question 16. Solution: We have, = = = Asand, we get, = = 2 Question 17. Solution: We have, = =… ","RD Sharma Class-11, Class 11, RD Sharma Solutions, School Learning, School Mathematics"
34,Class 9 RD Sharma Solutions – Chapter 8 Introduction to Lines and Angles- Exercise 8.2 | Set 2,https://www.geeksforgeeks.org/class-9-rd-sharma-solutions-chapter-8-introduction-to-lines-and-angles-exercise-8-2-set-2/,"Question 11. In Figure, ACB is a line such that ∠DCA = 5x and ∠DCB = 4x.  Find the value of x. Solution: It is given that ACB is a line… ","RD Sharma Class-9, Class 9, RD Sharma Solutions, School Learning, School Mathematics"
34,Class 11 RD Sharma Solutions – Chapter 29 Limits – Exercise 29.10 | Set 1,https://www.geeksforgeeks.org/class-11-rd-sharma-solutions-chapter-29-limits-exercise-29-10-set-1/,"Evaluate the following limits: Question 1.  Solution: We have, = = = = = = We know,. So, we have, = 4 log 5 Question… ","RD Sharma Class-11, Class 11, RD Sharma Solutions, School Learning, School Mathematics"
34,What is Gephi Software?,https://www.geeksforgeeks.org/what-is-gephi-software/,"Gephi is a visualization application developed in the Java language. It is mainly used for visualizing, manipulating, and exploring networks and graphs from raw edge… ","Technical Scripter 2020, Computer Subject"
34,Class 11 NCERT Solutions- Chapter 10 Straight Lines – Miscellaneous Exercise on Chapter 10 | Set 2,https://www.geeksforgeeks.org/class-11-ncert-solutions-chapter-10-straight-lines-miscellaneous-exercise-on-chapter-10-set-2/,Question 13. Show that the equation of the line passing through the origin and making an angle θ with the line y = mx +… ,"NCERT Solutions Class-11, Class 11, NCERT, School Learning, School Mathematics"
34,Class 11 NCERT Solutions- Chapter 10 Straight Lines – Miscellaneous Exercise on Chapter 10 | Set 1,https://www.geeksforgeeks.org/class-11-ncert-solutions-chapter-10-straight-lines-miscellaneous-exercise-on-chapter-10-set-1/,Question 1. Find the values of k for which the line (k – 3)x – (4 – k2)y + k2 – 7k + 6 =… ,"NCERT Solutions Class-11, Class 11, NCERT, School Learning, School Mathematics"
34,Particle Swarm Optimization (PSO) – An Overview,https://www.geeksforgeeks.org/particle-swarm-optimization-pso-an-overview/,The process of finding optimal values for the specific parameters of a given system to fulfill all design requirements while considering the lowest possible cost… ,Machine Learning
34,Ashok – Osint Recon Tool in Kali Linux,https://www.geeksforgeeks.org/ashok-osint-recon-tool-in-kali-linux/,Ashok is a free and open-source tool available on GitHub. Ashok is used for information gathering. Ashok is used to scan websites for information gathering… ,"Cyber-security, Kali-Linux, Linux-Tools, Linux-Unix"
34,Preparata Algorithm,https://www.geeksforgeeks.org/preparata-algorithm/,Preparata’s algorithm is a recursive Divide and Conquer Algorithm where the rank of each input key is computed and the keys are outputted according to… ,"Algorithms, Computer Subject, Sorting"
35,Particle Swarm Optimization (PSO) – An Overview,https://www.geeksforgeeks.org/particle-swarm-optimization-pso-an-overview/,The process of finding optimal values for the specific parameters of a given system to fulfill all design requirements while considering the lowest possible cost… ,Machine Learning
35,Ashok – Osint Recon Tool in Kali Linux,https://www.geeksforgeeks.org/ashok-osint-recon-tool-in-kali-linux/,Ashok is a free and open-source tool available on GitHub. Ashok is used for information gathering. Ashok is used to scan websites for information gathering… ,"Cyber-security, Kali-Linux, Linux-Tools, Linux-Unix"
35,Preparata Algorithm,https://www.geeksforgeeks.org/preparata-algorithm/,Preparata’s algorithm is a recursive Divide and Conquer Algorithm where the rank of each input key is computed and the keys are outputted according to… ,"Algorithms, Computer Subject, Sorting"
35,Top 6 DevOps Certifications to Earn in 2021,https://www.geeksforgeeks.org/top-6-devops-certifications-to-earn-in-2021/,"There’s a very famous saying of Idowu Koyenikana, a globally acclaimed author ​- “Opportunity does not waste time with those who are unprepared.” Though many… ","DevOps, GBlog"
35,SQL Query to Calculate Total Number of Weeks Between Two Specific Dates,https://www.geeksforgeeks.org/sql-query-to-calculate-total-number-of-weeks-between-two-specific-dates/,"Here we will see, how to calculate the number of weeks between the two given dates with the help of SQL query using DATEDIFF() function.… ","Picked, SQL-Query, SQL"
35,SQL Query to Calculate Total Number of Days Between Two Specific Dates,https://www.geeksforgeeks.org/sql-query-to-calculate-total-number-of-days-between-two-specific-dates/,"Here we will see, how to calculate the number of days between the two given dates with the help of SQL query using DATEDIFF() function.… ","Picked, SQL-Query, SQL"
35,SQL Query to Convert FLOAT to NVARCHAR,https://www.geeksforgeeks.org/sql-query-to-convert-float-to-nvarchar/,"Here we will see, how to convert FLOAT data to NVARCHAR data in an MS SQL Server’s database table using the CAST(), CONVERT(), and FORMAT()… ","Picked, SQL-Query, SQL"
35,Amazon RDS – Deleting a DB Snapshot,https://www.geeksforgeeks.org/amazon-rds-deleting-a-db-snapshot/,As we all are aware of this new branch of cloud computing in the information technology(IT) sector. AWS or Amazon Web Services is one of… ,"Amazon, aws-rds, Picked, Amazon Web Services"
35,Compare and Find Differences Between Two Tables in SQL,https://www.geeksforgeeks.org/compare-and-find-differences-between-two-tables-in-sql/,"Structured Query Language or SQL is a standard Database language that is used to create, maintain and retrieve the data from relational databases like MySQL,… ","Picked, SQL-Query, SQL"
35,Google Cloud Platform – Introduction to BigQuery Sandbox,https://www.geeksforgeeks.org/google-cloud-platform-introduction-to-bigquery-sandbox/,BigQuery sandbox gives you free access to try out BigQuery and use the UI without providing a credit card or using a billing account. It’s… ,"Cloud-Computing, Google Cloud Platform"
35,Google Cloud Platform – Introduction to BigQuery,https://www.geeksforgeeks.org/google-cloud-platform-introduction-to-bigquery/,"All organizations look for unlocking business insights from their data. But it can be hard to scalably ingest, store, and analyze that data as it… ","Cloud-Computing, Google Cloud Platform"
35,Microsoft Interview Experience | Off-Campus 2021 | OFFER,https://www.geeksforgeeks.org/microsoft-interview-experience-off-campus-2021/,"STATUS: Final Year [2021], B.E. Computer Science and Engineering, Tier-3 POSITION: University Graduate, FTE LOCATION: Hyderabad, India DATE: April 10, 2021 Note: I have done… ","Marketing, Microsoft, Off-Campus, Interview Experiences"
35,PwC Acceleration Center Interview Experience for Associate Role | On-Campus 2021,https://www.geeksforgeeks.org/pwc-acceleration-center-interview-experience-for-associate-role-on-campus-2021/,PwC is a Consulting company that came to our college for the Role of Associate Bangalore Location It Comprises 4 Rounds: Online Test  Group Discussion … ,"Marketing, On-Campus, Pwc, Interview Experiences"
35,MindTickle Interview Experience for Backend SDE,https://www.geeksforgeeks.org/mindtickle-interview-experience-for-backend-sde/,Telephonic Round: The HR talked about my experience and the tech I am currently working on. Interview Rounds Round 1: Asked two questions also told… ,"Marketing, MindTickle, Interview Experiences"
35,Newzera Interview Experience for Internship | Off-Campus 2021,https://www.geeksforgeeks.org/newzera-interview-experience-for-internship-off-campus-2021/,"Round 1(Cognitive Assessments): There were 2 cognitive assessments.  In the first one, there were a total of 2 short assessments to be completed in 22… ","Marketing, Newzera, Off-Campus, Internship, Interview Experiences"
36,ClearTrail Technologies Interview Experience for Associate Software Engineer (On-Campus),https://www.geeksforgeeks.org/cleartrail-technologies-interview-experience-for-associate-software-engineer-on-campus/,It was an On-Campus drive in April 2021. This drive was held virtually. There were 4 rounds. Online Test Technical Interview I Technical Interview II… ,"Clear Trail, Marketing, On-Campus, Interview Experiences"
36,BlackRock Interview Experience | On-Campus 2020,https://www.geeksforgeeks.org/blackrock-interview-experience-on-campus-2020/,BlackRock visited our campus in the month of September 2020. The roles offered were Technology Profile and Financial Modelling Group. They were offering only internships.… ,"BlackRock, Marketing, On-Campus, Internship, Interview Experiences"
36,Apple Interview Experience for Software Developer 2020,https://www.geeksforgeeks.org/apple-interview-experience-for-software-developer-2020/,Background:  I’m a Microsoft Software Engineer at Microsoft. I work in the field of Azure Psychological Services and I absolutely love my job. I have… ,"Apple, Marketing, Interview Experiences"
36,Ways to sum to N using Natural Numbers up to K with repetitions allowed,https://www.geeksforgeeks.org/ways-to-sum-to-n-using-natural-numbers-up-to-k-with-repetitions-allowed/,"Given two integers N and K, the task is to find the total number of ways of representing N as the sum of positive integers… ","Natural Numbers, Permutation and Combination, Combinatorial, Dynamic Programming, Mathematical"
36,Maximum product of a pair of nodes from largest connected component in a Graph,https://www.geeksforgeeks.org/maximum-product-of-a-pair-of-nodes-from-largest-connected-component-in-a-graph/,"Given an undirected weighted graph G consisting of N vertices and M edges, and two arrays Edges[][2] and Weight[] consisting of M edges of the… ","DFS, Graph Traversals, graph-connectivity, Graph, Mathematical, Recursion, Searching"
36,Union and Intersection of two Graphs,https://www.geeksforgeeks.org/union-and-intersection-of-two-graphs/,"Given two graphs G1 and G2, the task is to find the union and intersection of the two given graphs, i.e. (G1 ∪ G2) and… ","DFS, Graph Traversals, graph-connectivity, Graph, Hash, Mathematical, Searching"
36,Google Cloud Platform – Running Queries in BigQuery,https://www.geeksforgeeks.org/google-cloud-platform-running-queries-in-bigquery/,"In this article, we’re going to look into how to run a query in BigQuery. Running queries is one of the most fundamental parts of… ","Cloud-Computing, Google Cloud Platform"
36,Amazon Web Services – Adding Security Group to Elastic Beanstalk Environment,https://www.geeksforgeeks.org/amazon-web-services-adding-security-group-to-elastic-beanstalk-environment/,"The AWS Elastic Beanstalk is a service provided by AWS that is used to deploy and scale web applications built on Java, Python, Go, Ruby,… ","AWS, aws-ebs, Amazon Web Services"
36,Amazon Web Services – Using Custom UI Templates in Sagemaker,https://www.geeksforgeeks.org/amazon-web-services-using-custom-ui-templates-in-sagemaker/,"In this article,  we will look into how you can use a custom UI template with AWS Lambda functions in Amazon Sagemaker ground truth.  Here… ","AWS, aws-sagemaker, Amazon Web Services"
36,Class 10 RD Sharma Solutions – Chapter 6 Trigonometric Identities – Exercise 6.1 | Set 1,https://www.geeksforgeeks.org/class-10-rd-sharma-solutions-chapter-6-trigonometric-identities-exercise-6-1-set-1/,"Prove the following trigonometric identities: Question 1. (1 – cos2 A) cosec2 A = 1 Solution: We have,  L.H.S. = (1 – cos2 A) cosec2… ","Picked, RD Sharma Class-10, Class 10, RD Sharma Solutions, School Learning, School Mathematics"
36,"The Moon – Facts, Phases, Surface, Eclipse",https://www.geeksforgeeks.org/the-moon-facts-phases-surface-eclipse/,"Celestial bodies include planets, stars, the moon, and other celestial bodies. Astronomy is a field of science concerned with the study of heavenly bodies and… ","Picked, Class 8, School Learning, School Physics"
36,QWERTY – Best or Worst Keyboard Layout,https://www.geeksforgeeks.org/qwerty-best-or-worst-keyboard-layout/,QWERTY layout is the first layout of any keyboard and is still most commonly used. But is also true that QWERTY design is one of… ,"GBlog, GFacts"
36,ASCII Table,https://www.geeksforgeeks.org/ascii-table/,"ASCII (American Standard Code for Information Interchange) is a standard character encoding used in telecommunication. They represent text in, telecommunications equipment, and devices. These include… ",Computer Subject
36,How to Make Substring of a TextView Clickable in Android?,https://www.geeksforgeeks.org/how-to-make-substring-of-a-textview-clickable-in-android/,"In this article, we are going to implement a very important feature related to TextView. Here we are making part of a string or a… ","Android, Java"
36,How to Create New ImageView Dynamically on Button Click in Android?,https://www.geeksforgeeks.org/how-to-create-new-imageview-dynamically-on-button-click-in-android/,"In this article, we are going to implement a very important feature related to ImageView. Here we are going to add ImageView dynamically. We will… ","Android, Java"
37,How to Implement SuperBottomBar in Android App?,https://www.geeksforgeeks.org/how-to-implement-superbottombar-in-android-app/,"In this article, we are going to implement bottom navigation like there in Spotify. We all have come across apps that have a Bottom Navigation… ","Android-Bars, Android, Java"
37,Microsoft Internship Interview Experience | Summer’21,https://www.geeksforgeeks.org/microsoft-internship-interview-experience-summer21/,"I hope whosoever is reading this is safe and in good health. The past year has been really bumpy, but good things always find a… ","Marketing, Microsoft, Internship, Interview Experiences"
